Comment,Designator,Footprint,LCSC
100k,"R12,RI1",R_1206_3216Metric, C17900
1M,R14,R_1206_3216Metric, C17927
2k,R18,R_1206_3216Metric, C17944
200k,"R11,RI2,RIa1",R_1206_3216Metric,C114937
2M,Rmb1,R_1206_3216Metric,C137162
4.7M,Rma1,R_1206_3216Metric,C163360
301,R15,R_1206_3216Metric,C17887
0,"R20,R71",R_1206_3216Metric,C17888
10k,"R9,Rsb1",R_1206_3216Metric,C17902
3.32k,R7,R_1206_3216Metric,C229598
475k,R13,R_1206_3216Metric,C229653
6.8k,R5,R_1206_3216Metric,C229771
7.32k,R8,R_1206_3216Metric,C229800
TestPoint,"T1,T2,T3,T4",TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,C238125
TestPointGND,"G3,G5",TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,C238126
0.1u,Cmb1,C_1206_3216Metric,C24497
Conn_01x02,H2,PinHeader_1x02_P2.54mm_Vertical,C2829889
Conn_Coaxial,J1,BU-SMA-G,C2874827
Conn_02x04_Odd_Even,"REJ1,RpcJ1,SRJ1",PinHeader_2x04_P2.54mm_Vertical,C2894965
4.99k,"R16,R2,R3,R4,R6",R_1206_3216Metric,C3017001
1k,R10,R_1206_3216Metric,C4410
105-1101-001,"J2,J3,J4,J6,J9",Test_Jack_Horiz,C4993141
105-1110-001,J7,Test_Jack_Horiz,C4993715
105-1102-001,"J5,J8",Test_Jack_Horiz,C4993830
499,R17,R_1206_3216Metric,C870765
33n,Cma1,C_1206_3216Metric,C97930
DNI,H3,MountingHole_2.2mm_M2,
DNI,H5,MountingHole_2.2mm_M2,
DNI,H7,MountingHole_2.2mm_M2,
DNI,R51,R_1206_3216Metric,
DNI,H1,MountingHole_2.2mm_M2,
DNI,R1,R_1206_3216Metric,
2p,C20,C_1206_3216Metric,
