Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C20,2p,C_1206_3216Metric,47.1932,17.3355,0.0,top
Cma1,33n,C_1206_3216Metric,36.6776,11.0871,90.0,top
Cmb1,0.1u,C_1206_3216Metric,43.7388,11.178,-90.0,top
G3,TestPointGND,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,28.575,5.5245,0.0,top
G5,TestPointGND,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,33.4264,16.6751,0.0,top
H2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,28.7528,15.7607,0.0,top
J1,Conn_Coaxial,BU-SMA-G,64.8601,27.7495,0.0,top
J2,105-1101-001,Test_Jack_Horiz,3.81,7.9375,0.0,top
J3,105-1101-001,Test_Jack_Horiz,3.81,13.97,0.0,top
J4,105-1101-001,Test_Jack_Horiz,3.81,32.0675,0.0,top
J5,105-1102-001,Test_Jack_Horiz,3.81,26.035,0.0,top
J6,105-1101-001,Test_Jack_Horiz,3.81,20.0025,0.0,top
J7,105-1110-001,Test_Jack_Horiz,59.69,7.9375,0.0,top
J8,105-1102-001,Test_Jack_Horiz,59.69,13.97,0.0,top
J9,105-1101-001,Test_Jack_Horiz,59.69,20.0025,180.0,top
R1,DNI,R_1206_3216Metric,52.4764,28.8671,-90.0,top
R2,4.99k,R_1206_3216Metric,10.5156,9.4615,-90.0,top
R3,4.99k,R_1206_3216Metric,10.8712,16.5227,90.0,top
R4,4.99k,R_1206_3216Metric,11.43,25.0825,0.0,top
R5,6.8k,R_1206_3216Metric,11.43,22.2885,0.0,top
R6,4.99k,R_1206_3216Metric,35.052,23.9395,-90.0,top
R7,3.32k,R_1206_3216Metric,32.512,23.9395,-90.0,top
R8,7.32k,R_1206_3216Metric,29.972,23.9395,-90.0,top
R9,10k,R_1206_3216Metric,27.432,23.9395,-90.0,top
R10,1k,R_1206_3216Metric,22.7842,16.9318,180.0,top
R11,200k,R_1206_3216Metric,47.8536,22.5171,90.0,top
R12,100k,R_1206_3216Metric,45.3136,22.5171,90.0,top
R13,475k,R_1206_3216Metric,42.5196,22.5171,90.0,top
R14,1M,R_1206_3216Metric,39.7256,22.5171,90.0,top
R15,301,R_1206_3216Metric,22.7842,14.3918,180.0,top
R16,4.99k,R_1206_3216Metric,52.451,18.6055,0.0,top
R17,499,R_1206_3216Metric,22.7842,11.8518,180.0,top
R18,2k,R_1206_3216Metric,22.7842,9.3118,180.0,top
R20,0,R_1206_3216Metric,22.8092,20.9423,0.0,top
R51,DNI,R_1206_3216Metric,43.8912,6.1087,180.0,top
R71,0,R_1206_3216Metric,37.8968,6.1087,0.0,top
REJ1,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,43.6372,28.7147,-90.0,top
RI1,100k,R_1206_3216Metric,52.4256,14.0843,0.0,top
RI2,200k,R_1206_3216Metric,17.526,6.3119,180.0,top
RIa1,200k,R_1206_3216Metric,16.6624,22.2631,0.0,top
Rma1,4.7M,R_1206_3216Metric,32.9692,11.1379,90.0,top
Rmb1,2M,R_1206_3216Metric,47.6504,11.2288,-90.0,top
RpcJ1,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,30.7848,31.0007,-90.0,top
Rsb1,10k,R_1206_3216Metric,16.6624,26.3271,0.0,top
SRJ1,Conn_02x04_Odd_Even,PinHeader_2x04_P2.54mm_Vertical,16.2052,13.7287,0.0,top
T1,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,24.384,5.5245,0.0,top
T2,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,32.893,5.5245,0.0,top
T3,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,40.1828,11.8491,0.0,top
T4,TestPoint,TestPoint_Loop_D2.60mm_Drill1.6mm_Beaded,22.4536,28.7655,0.0,top
