"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey#","Manf#","Tolerance"
"1","1","Cma1","33n","Device:C","Capacitor_SMD:C_1206_3216Metric","~","1276-3159-1-ND","CL31B333KHHSFNE","10%"
"2","1","DC1","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","282837-4",""
"3","1","DC2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","282837-2",""
"4","4","GND1, GND2, GND3, GND5","TestPointGND","Connector:TestPoint","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","36-5128-ND","5128",""
"5","4","H1, H3, H5, H7","DNI","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","",""
"6","1","Header1","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","",""
"7","3","R1Adjust1, RpcAdjust1, SeriesResAdjust1","Conn_02x04_Odd_Even","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","","",""
"8","1","R11","200k","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-200KFRCT-ND","RC1206FR-07200KL","1%"
"9","2","R12, RI1","100k","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-100KFRCT-ND","RC1206FR-07100KL","1%"
"10","1","R13","475k","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-475KFRCT-ND","RC1206FR-07475KL","1%"
"11","1","R14","1M","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-1.00MFRCT-ND","RC1206FR-071ML","1%"
"12","1","R51","DNI","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","YAG3367CT-ND","RC1206FR-070RL","1%"
"13","2","R71, Rgnd1","0","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","YAG3367CT-ND","RC1206FR-070RL","1%"
"14","1","RCC1","6.8k","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-6.80KFRCT-ND","RC1206FR-076K8L","1%"
"15","1","Rma1","4.7M","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-4.70MFRCT-ND","RC1206FR-074M7L","1%"
"16","2","RPC1, RPV1","5k","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","YAG5090CT-ND","RT1206BRD075KL","0.1%"
"17","1","RPC2","3.32k","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-3.32KFRCT-ND","RC1206FR-073K32L","1%"
"18","1","RPC3","7.32k","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-7.32KFRCT-ND","RC1206FR-077K32L","1%"
"19","1","RPC4","10k","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-10.0KFRCT-ND","RC1206FR-0710KL","1%"
"20","1","Rsa1","1k","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-1.00KFRCT-ND","RC1206FR-071KL","1%"
"21","1","Rsa2","301","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-301FRCT-ND","RC1206FR-07301RL","1%"
"22","1","Rsa3","499","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-499FRCT-ND","RC1206FR-07499RL","1%"
"23","1","Rsa4","2k","Device:R_US","Resistor_SMD:R_1206_3216Metric","~","311-2.00KFRCT-ND","RC1206FR-072KL","1%"
"24","3","Test1, Test2, Test3","TestPoint","Connector:TestPoint","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","36-5128-ND","5128",""
